"codice_tipologia","provincia","regione","soggetto","formato","prodotto","produttore"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","CONTROLLO ACCESSI","Cba informatica s.r.l."
"L34","VI","Veneto","Bilancio","Firebird","CONTROLLO DI GESTIONE","Cba informatica s.r.l."
"L34","VI","Veneto","Lavoro","Firebird","CONTROLLO DI GESTIONE","Cba informatica s.r.l."
"L34","MB","Lombardia","Lavoro","Firebird","CONTROLLO DI GESTIONE","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTROLLO DI GESTIONE","Cba informatica s.r.l."
"L8","MN","Lombardia","Salute","Dbms oracle","Controllo di Gestione","Data processing"
"L8","BG","Lombardia","Salute","Dbms oracle","Controllo di Gestione","Data Processing S.p.a."
"L8","MB","Lombardia","Salute","Dbms oracle","Controllo di Gestione","Data Processing Via del Lavoro, 17 40127 Bologna"
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTROLLO FLUSSO NSIS","Cba informatica s.r.l."
"L7","VA","Lombardia","Salute","Oracle","Controllo Gestione","Oslo srl"
"L34","RA","Emilia Romagna","Lavoro","Firebird","CONTROLLO GESTIONE PERSONALE","Cba informatica s.r.l."
"L8","BO","Emilia Romagna","Salute","Oracle","Controllo Trasfusioni","SORI"
"L34","VI","Veneto","Bilancio","Microsoft sql server","Coordinamento amministrativo Ospiti","Esakon snc"
"L34","VR","Veneto","Salute","Microsoft sql server","Coordinamento amministrativo Ospiti","Esakon snc"
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Microsoft sql server","Coordinamento amministrativo Ospiti","Esakon snc"
"L34","PC","Emilia Romagna","Salute","Microsoft sql server","Coordinamento amministrativo Ospiti","Esakon snc"
"L34","VE","Veneto","Salute","Microsoft sql server","Coordinamento amministrativo Ospiti","Esakon snc"
"L7","LU","Toscana","Salute","Dbms oracle","CORNEE","Mesis"
"L8","CZ","Calabria","Gestione documentale","Sql server","CRCC","Tesi"
"L7","PG","Umbria","Salute","Mysql","CredNet","System Tecnology S.r.l."
"L7","TR","Umbria","Salute","Mysql","Cred.NET","Systems Technology"
"L7","BO","Emilia Romagna","Salute","Oracle","CRSNet","SggSoft"
"L34","MB","Lombardia","Salute","Mysql","CRS-SISS","LISPA Spa"
"L8","PZ","Basilicata","Salute","DBMS Sql","CRTOOL","Ivan Rahid"
"L34","VI","Veneto","Lavoro","Firebird","Cruscotto di Direzione","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CSS","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CSS","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CSS","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CSS","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CSS","Cba informatica s.r.l."
"L34","RN","Emilia Romagna","Previdenza e assistenza","Firebird","CSS","Cba informatica s.r.l."
"L7","TR","Umbria","Salute","Microsoft sql server","CSS - Audit Individuale","Sistematica S.p.a."
"L34","BL","Veneto","Previdenza e assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza ed assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","RA","Emilia Romagna","Previdenza e assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","RA","Emilia Romagna","Previdenza e assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","MB","Lombardia","Previdenza e assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","TV","Veneto","Previdenza e assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","PD","Veneto","Previdenza e assistenza","Firebird","CSS (cartella clinica)","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CSS(cartella clinica)","Cba informatica s.r.l."
"L34","PD","Veneto","Previdenza e assistenza","Firebird","CSS (CARTELLA SANITARIA)","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CSS (cartella socio sanitaria)","Cba informatica s.r.l."
"L7","TR","Umbria","Salute","Microsoft sql server","CSS - Distribuzione diretta farmaci","Sistematica S.p.a."
"L7","TR","Umbria","Salute","Microsoft sql server","CSS - Farmacovigilanza","Sistematica S.p.a."
"L7","TR","Umbria","Salute","Microsoft sql server","CSS - Prescrizione ricette","Sistematica S.p.a."
"L7","TR","Umbria","Salute","Microsoft sql server","CSS- Verifica attività MMG","Sistematica S.p.a."
"L7","TR","Umbria","Salute","Microsoft sql server","CSS - Verifica attività PLS","Sistematica S.p.a."
"L7","TR","Umbria","Salute","Microsoft sql server","Cucspo","Ylios S.r.l."
"L8","PZ","Basilicata","Lavoro","Dbms oracle","CUD","Publisys S.p.A"
"L8","MN","Lombardia","Salute","Dbms oracle","CUP","Data processing"
"L8","BG","Lombardia","Salute","Dbms oracle","CUP","Data Processing S.p.a."
"L7","TE","Abruzzo","Salute","DB2 su AS400","CUP","Iasi s.r.l."
"L7","TO","Piemonte","Salute","Cache","CUP","Intersystems"
"L8","PZ","Basilicata","Salute","DBMS Sql","CUP","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","CUP","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","CUP","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","CUP","Regione Basilicata"
"L8","PZ","Basilicata","Salute","DBMS Sql","CUP","Regione Basilicata"
"L7","PZ","Basilicata","Salute","DBMS Sql","CUP","Regione Basilicata"
"L7","CR","Lombardia","Salute","Oracle","Cup Cassa Consultori","Santer Reply S.p.a. - Milano"
"L8","MB","Lombardia","Salute","Dbms oracle","CUP G2","Insiel Mercato SpA AREA Science Park – Padriciano 99 – 34149 Trieste"
"L7","RO","Veneto","Salute","Dbms oracle","CUP LITHE","Insiel mercato"
"L7","BS","Lombardia","Salute","Dbms oracle","CUPNET","Hitech S.p.A."
"L7","BS","Lombardia","Salute","Dbms oracle","CUPNET","Hitech S.p.A."
"L7","AL","Piemonte","Salute","DB2 AS/400","CUP Radiologia e RSM","Dedalus"
"L7","CN","Piemonte","Salute","Oracle","Cup Recall","AMOS"
"L7","RO","Veneto","Salute","Dbms oracle","CUPweb","Insiel mercato"
